"","question.1","question.4","question.0","question.8","question.5","question.9","question.6","question.3","question.7","question.2","comprehensionquestion.1.correct","comprehensionquestion.4.correct","comprehensionquestion.0.correct","comprehensionquestion.8.correct","comprehensionquestion.5.correct","comprehensionquestion.9.correct","comprehensionquestion.6.correct","comprehensionquestion.3.correct","comprehensionquestion.7.correct","comprehensionquestion.2.correct","temperature_scale","workerId_hash"
"1","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","True","False","True","False","False","False","Fahrenheit","b8530c74d6c3eab3c1774a2598746ca2bdcb660a307df6e3ac47968a23f13e6f"
"2","Temperature","Higher","32°","Cumulus","Summer in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Land heats up and cools down quicker than oceans","Snowy weather","The temperature of the air","False","False","True","False","False","False","True","True","False","False","Fahrenheit","cd6ff95f2fe34ac5232fa707a46768f59d8f31451b00359d80c9c69fb1d3f6ed"
"3","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","True","True","Fahrenheit","8272d7a86d642e3969d0f5825d0858ef2da00a83a436ef7e2b2ba981a9933d08"
"4","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","False","True","True","False","False","Fahrenheit","c25cc41ccc524d5e14d8b028971b16634a4020297e2acac9f93e82fe0ad64d9f"
"5","Atmospheric pressure","Lower","32°","Stratus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","True","True","True","Fahrenheit","eaab8162030debef865342013b2c101d4342a9c351eeec5e2d878ead3c6c3740"
"6","Atmospheric pressure","Higher","32°","Cumulus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","False","True","False","False","True","True","False","True","False","Fahrenheit","4d3bfe25fd4bcf5eeb8c084bf99d50143e997149fd7939797c90f972e41699fc"
"7","Rainfall","Higher","0°","Stratus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","False","False","False","False","True","False","True","True","False","True","Fahrenheit","27f91935c2e31f2cfc7327676c0f2719467fa5a676494e82b44fb2d72f3e5d58"
"9","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","False","False","False","False","False","Fahrenheit","a271422940f6fb267a8e2c05f1a97e5e4849c91f98f1585f8a6ea6405e4b1ff7"
"11","Atmospheric pressure","Lower","32°","Stratus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","True","True","True","Fahrenheit","f86326e015a483a353a5fee7341128ba92eafa2c95a23289df845e6cd65ad5c0"
"12","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","f0ac887d0568e6ba8a024857d95a0e85430c6283a89e14fe34efb4f875808ac9"
"13","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","False","True","Fahrenheit","e77a062479f91e9fc5ad0c25d60f4fe44d5ac55f652f49d6e7f1c88eddfc1d1a"
"14","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","False","True","True","True","True","Fahrenheit","d1f00205c93c3060ba9a3c5f8c6a130f7e494528d4d34af4224a0d6d6341111f"
"16","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","True","True","False","False","True","Fahrenheit","049d9e4737608c7e7334f0f5381bf5e0ff13bc05965497a211898680e1a8e595"
"17","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","True","True","Fahrenheit","3f8c1869ab03b872caac0aea91afac4200c9033f7f59dee0c78b9b4b52d5b4ab"
"18","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","True","True","True","True","False","Fahrenheit","f68768024e9e2b6bd2c611a10774e7505caa6e37b2cea81bc28b09c560987b9e"
"19","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","e122eb6ebc1a07e6c0154eb265be51621b4ee216aafd908145aacc6178b0dbd9"
"20","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","False","True","True","False","False","Fahrenheit","0f3a88f7519a5c0a8e76ec29df96c117fd815c4780cdab4260ceb0fdfed6d8a4"
"21","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","True","True","False","False","False","Fahrenheit","d84179a7db823a371a716d48bc6d9fe6efe0123b71a7c94f26d41a44434106ee"
"22","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","True","True","False","False","True","Fahrenheit","5534f7c2c429b734a841a9cf77edbb60899127ee089012a7c239c6e1271179a2"
"23","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","7ec90cb95f2569e332dadeb73f847ba9ec2adcb89d0b786ac06d9d4beb29925d"
"24","Temperature","Higher","32°","Cumulus","Summer in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Condensation","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","False","False","True","False","False","False","False","True","False","True","Fahrenheit","7ac50f26ae91b8677635742e01d7f16550c215ec0639fab9894b349ecd5786dc"
"25","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","True","True","False","True","False","Fahrenheit","4eae40a91bd50c2086ac3d020442ff43cce5f08cd4ab22275fda899db8a37726"
"26","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","False","True","True","True","True","Fahrenheit","0426c9d7e03535342b20358731205671b3728eda3720299cf47b0711de495bad"
"28","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","True","True","False","True","False","True","True","False","True","Fahrenheit","5f413c67b17f8a19ee7e34a77dce26b3bca8137f8184125cf2614447262e152d"
"31","Temperature","Higher","32°","Cirrus","Summer in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","False","False","True","False","False","False","True","True","True","False","Celsius","e703a2245a60b360db62d408eae6844fb8a117eba7eaea6d9ebe2d40ba25bb82"
"32","Atmospheric pressure","Lower","32°","Cirrus","Fall in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","True","True","False","False","False","True","False","False","True","Fahrenheit","3974db7009c786c37e92cbb11ed98f572aa3dfad27e8b659cd867985308b900b"
"33","Atmospheric pressure","Higher","32°","Cirrus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","True","True","True","False","True","Fahrenheit","2a6107a13773469c91eb61e8b208033c95b2f16087fab01561800283467069f1"
"34","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","True","True","True","False","True","Fahrenheit","57b23cdf226cce75867e2c5eb8eb1a0ea4db6738243efe33ed6e1b807ec87602"
"35","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","0b213cb7cad7ada271176e6dabc3d240b62558342ff1db041b21cdebac578343"
"36","High tide","Higher","34°","Stratus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land heats up and cools down quicker than oceans","Snowy weather","The condition of the atmosphere at a certain place and time","False","False","False","False","True","False","False","True","False","False","Celsius","5ac103d432a5296fb8089dbd930b94ea517be5cbc5d4ff1e79cf0b63655cc533"
"40","Atmospheric pressure","Higher","100°","Cumulus","Spring in the northern hemisphere","It increases heat transfer from the environment to the body","Evaporation","Oceans heat up and cool down quicker than land","Snowy weather","The condition of the atmosphere at a certain place and time","True","False","False","False","False","False","False","False","False","False","Fahrenheit","3422cba870b36ab8041a808d413d0bc92d59605ecd25b6d9a4ffa49d1a0cd660"
"42","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","df28fda6a750c63cba9525783784ff9f862904614dd7581756739496dee3e83e"
"43","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","False","True","False","True","False","True","True","Fahrenheit","5bba07b60a1a8ade5c0b8523bd82889a976ce0a076f5dd7a84f7c04ff1ba2d89"
"44","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","False","True","Fahrenheit","17e02c71a2bd6d48f373f28aa13e2f89464617374cb1ca6731bd066f5801d2ba"
"45","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","True","True","False","False","True","Fahrenheit","adbbd9173ed2a8cb93377ddcade72cdd1c3e4aadc23b3be1c3719636338ada04"
"46","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","False","True","Fahrenheit","62ec70339ed1fd7cb03e60e67181a3898d1da518bc92d3f5108229e6e08396f6"
